Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Bent Over Row (Barbell)",1,65.0,6.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Bent Over Row (Barbell)",2,65.0,6.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Bent Over Row (Barbell)",3,65.0,6.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Pull Up (Assisted)",1,60.0,5.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Pull Up (Assisted)",2,60.0,5.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Pull Up (Assisted)",3,60.0,5.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Seated Row (Cable)",1,88.0,6.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Seated Row (Cable)",2,88.0,6.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Seated Row (Cable)",3,99.0,6.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Iso-Lateral Row (Machine)",1,110.0,6.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Iso-Lateral Row (Machine)",2,110.0,6.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Iso-Lateral Row (Machine)",3,110.0,6.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Hammer Curl (Dumbbell)",1,17.5,8.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Hammer Curl (Dumbbell)",2,20.0,8.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Hammer Curl (Dumbbell)",3,20.0,8.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Incline Curl (Dumbbell)",1,12.5,8.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Incline Curl (Dumbbell)",2,12.5,8.0,0,0.0,
2023-06-03 18:00:00,"Heavy Pull Workout",1h,"Incline Curl (Dumbbell)",3,12.5,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Squat (Barbell)",1,135.0,5.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Squat (Barbell)",2,145.0,5.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Squat (Barbell)",3,145.0,5.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Romanian Deadlift (Barbell)",1,65.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Romanian Deadlift (Barbell)",2,65.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Romanian Deadlift (Barbell)",3,65.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Bulgarian Split Squat",1,10.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Bulgarian Split Squat",2,10.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Bulgarian Split Squat",3,10.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Back Extension",1,25.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Back Extension",2,25.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Back Extension",3,25.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Lying Leg Curl (Machine)",1,50.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Lying Leg Curl (Machine)",2,60.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Lying Leg Curl (Machine)",3,60.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Leg Extension (Machine)",1,60.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Leg Extension (Machine)",2,60.0,8.0,0,0.0,
2023-06-04 18:00:00,"Legs Workout",1h,"Leg Extension (Machine)",3,60.0,8.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Bench Press (Barbell)",1,150.0,5.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Bench Press (Barbell)",2,150.0,5.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Bench Press (Barbell)",3,150.0,5.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Chest Dip",1,0.0,5.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Chest Dip",2,0.0,6.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Chest Dip",3,0.0,6.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Chest Dip",4,0.0,6.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Incline Chest Press (Machine)",1,40.0,6.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Incline Chest Press (Machine)",2,40.0,6.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Incline Chest Press (Machine)",3,40.0,6.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Triceps Pushdown (Cable - Straight Bar)",1,22.0,8.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Triceps Pushdown (Cable - Straight Bar)",2,38.5,10.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Triceps Pushdown (Cable - Straight Bar)",3,38.5,10.0,0,0.0,
2023-06-05 17:30:00,"Heavy Push Workout",40m,"Triceps Pushdown (Cable - Straight Bar)",4,38.5,10.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Bent Over Row (Barbell)",1,75.0,8.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Bent Over Row (Barbell)",2,75.0,8.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Bent Over Row (Barbell)",3,75.0,8.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Pull Up (Assisted)",1,80.0,8.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Pull Up (Assisted)",2,100.0,8.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Pull Up (Assisted)",3,120.0,8.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Iso-Lateral Row (Machine)",1,90.0,10.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Iso-Lateral Row (Machine)",2,90.0,10.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Iso-Lateral Row (Machine)",3,90.0,10.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Hammer Curl (Dumbbell)",1,15.0,10.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Hammer Curl (Dumbbell)",2,15.0,10.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Bicep Curl (Dumbbell)",1,12.5,10.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Bicep Curl (Dumbbell)",2,12.5,10.0,0,0.0,
2023-06-08 20:10:00,"Volume Pull Workout",37m,"Bicep Curl (Dumbbell)",3,12.5,10.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Bench Press (Barbell)",1,155.0,5.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Bench Press (Barbell)",2,155.0,5.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Bench Press (Barbell)",3,155.0,5.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Chest Dip",1,5.0,6.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Chest Dip",2,5.0,6.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Chest Dip",3,5.0,6.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Chest Dip",4,5.0,6.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Incline Chest Press (Machine)",1,45.0,6.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Incline Chest Press (Machine)",2,45.0,6.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Incline Chest Press (Machine)",3,45.0,5.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Triceps Extension (Barbell)",W,20.0,10.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Triceps Extension (Barbell)",1,30.0,10.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Triceps Extension (Barbell)",2,30.0,10.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Triceps Extension (Barbell)",3,30.0,10.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Triceps Pushdown (Cable - Straight Bar)",1,38.5,10.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Triceps Pushdown (Cable - Straight Bar)",2,38.5,10.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Triceps Pushdown (Cable - Straight Bar)",3,38.5,10.0,0,0.0,
2023-06-10 19:21:17,"Heavy Push",49m,"Triceps Pushdown (Cable - Straight Bar)",4,38.5,8.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Squat (Barbell)",1,155.0,5.0,0,0.0,
2023-06-17 18:10:14,"Legs",2h 18m,"Squat (Barbell)",2,155.0,5.0,0,0.0,
